abstract,articleID,articleWordCount,byline,documentType,headline,keywords,multimedia,newDesk,printPage,pubDate,sectionName,snippet,source,typeOfMaterial,webURL
,58e52ea17c459f24986d88f7,1350,"By MARK LANDLER, DAVID E. SANGER and MICHAEL D. SHEAR",article,Trump Suggests Bigger U.S. Role in Syria Conflict,"['Trump, Donald J', 'Syria', 'Assad, Bashar al-', 'Biological and Chemical Warfare', 'Civilian Casualties', 'United States International Relations', 'United States Politics and Government', 'Abdullah II, King of Jordan', 'Jordan']",3,Foreign,1,05-04-2017 17:51,Middle East,Mr. Trump declined to elaborate what he would do to respond to the attacks during a joint news conference with King Abdullah of Jordan in the Rose Garden.,The New York Times,News,https://www.nytimes.com/2017/04/05/world/middleeast/king-abdullah-jordan-trump.html
,58e531967c459f24986d890c,1017,By HIROKO TABUCHI,article,Trump Cuts Cast Doubt on Infrastructure,"['Infrastructure (Public Works)', 'Bridges and Tunnels', 'Transportation Department (US)', 'Chao, Elaine L', 'Federal Budget (US)', 'Budgets and Budgeting', 'Transit Systems', 'Roads and Traffic', 'Federal Aid (US)', 'Tolls', 'Railroads', 'Parking Meters']",3,Business,11,05-04-2017 18:04,DealBook,"Supporters cheered a plan to spend $1 trillion on infrastructure, but the proposed budget slashes funding.",The New York Times,News,https://www.nytimes.com/2017/04/05/business/dealbook/bridge-rail-infrastructure-trump.html
,58e544fb7c459f24986d895f,692,By RONI CARYN RABIN,article,Groups Seek Court’s Aid in Banning a Pesticide,"['Pesticides', 'Water Pollution', 'Fruit', 'United States Politics and Government', 'Environmental Protection Agency', 'Dow Chemical Company', 'Earthjustice']",3,Well,14,05-04-2017 19:26,Unknown,Groups asked to ban chlorpyrifos from food within 30 days if the Environmental Protection Agency cannot prove it is safe.,The New York Times,News,https://www.nytimes.com/2017/04/05/well/advocacy-groups-ask-for-ban-on-common-pesticide.html
,58e555ff7c459f24986d8993,1260,By BESHA RODELL,article,The Lobbying  Was Fierce  (and Tasty),"[""World's 50 Best Restaurants"", 'Restaurants', 'Melbourne (Australia)', 'Awards, Decorations and Honors', 'Advertising and Marketing']",3,Dining,1,05-04-2017 20:39,Unknown,"The Australian city may not seem to rank as a top food destinations, but its marketing offensive was first-rate.",The New York Times,News,https://www.nytimes.com/2017/04/05/dining/worlds-50-best-restaurants-melbourne.html
,58e5850b7c459f24986d8a17,168,By RUBY PACKARD,article,Passing Moe,"['Midtown Area (Manhattan, NY)']",0,Metro,18,06-04-2017 00:00,Unknown,Feeling the absence of a sidewalk friendship that helped define whether the morning routine was on track.,The New York Times,News,https://www.nytimes.com/2017/04/05/nyregion/metropolitan-diary-passing-moe.html
,58e58a707c459f24986d8a20,628,By THE EDITORIAL BOARD,article,Mr. Trump’s Most Important Meeting,"['Trump, Donald J', 'China', 'Xi Jinping', 'United States International Relations', 'United States Politics and Government']",3,Editorial,26,06-04-2017 00:23,Unknown,The visit of President Xi Jinping of China will be a test of Mr. Trump’s ability to address global issues with an experienced leader.,The New York Times,Editorial,https://www.nytimes.com/2017/04/05/opinion/president-trumps-most-important-meeting.html
,58e58d0a7c459f24986d8a28,1062,By JENNIFER STEINHAUER and ROBERT PEAR,article,"As Latest Health Plan Dies, Republicans Can’t Agree on a Culprit","['United States Politics and Government', 'Health Insurance and Managed Care', 'Patient Protection and Affordable Care Act (2010)', 'Budgets and Budgeting', 'Law and Legislation', 'Republican Party', 'Pear, Robert', 'Pence, Mike']",3,National,14,06-04-2017 00:33,Politics,Conservative groups moved quickly to shift the blame for the failure of a promise to repeal the Affordable Care Act onto some not-as-conservative Republicans.,The New York Times,News,https://www.nytimes.com/2017/04/05/us/politics/health-care-house-republicans.html
,58e5a14b7c459f24986d8a54,846,By ELISABETH VINCENTELLI,article,"A Fine Romance? Yes, and a Gay History Tour","['Theater', 'Gently Down the Stream (Play)', 'Fierstein, Harvey', 'Mathias, Sean', 'Sherman, Martin', 'Public Theater']",3,Culture,4,06-04-2017 02:00,Unknown,Harvey Fierstein stars in Martin Sherman’s poignant new play about the relationship between a young Londoner and an American expat.,The New York Times,Review,https://www.nytimes.com/2017/04/05/theater/review-gently-down-the-stream-public-theater-harvey-fierstein.html
,58e5a1507c459f24986d8a56,962,By DEB AMLEN,article,Playbook Symbols,"['Crossword Puzzles', 'Symbols']",3,Games,0,06-04-2017 02:00,Unknown,Damon Gulczynski plots out how to solve today’s crossword.,The New York Times,News,https://www.nytimes.com/2017/04/05/crosswords/playbook-symbols-dayton-glass-commodores.html
,58e5a14f7c459f24986d8a55,984,By BEN BRANTLEY,article,Serving Ham on Soignée Silk,"['Theater', 'Present Laughter (Play)', 'Coward, Noel', 'von Stuelpnagel, Moritz', 'Kline, Kevin', 'Smulders, Cobie', 'St James Theater']",3,Culture,1,06-04-2017 02:00,Unknown,A bouncy revival of a Noël Coward classic re-establishes the Tony-winning Mr. Kline as one of the great physical comedians.,The New York Times,Review,https://www.nytimes.com/2017/04/05/theater/review-kevin-kline-serves-ham-in-soignee-silk-in-present-laughter.html
